id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1974-100,Pocket horizontal sundial,Ansonia Sunwatch (pocket compass dial),Ansonia Clock Co.,1922-1939,"New York county, New York state, United States",,,Ansonia Sunwatch (pocket compass dial),WHOLE,SCM - Time Measurement
1883-74,spring-driven clock mechanism; fusee; model,Model of train of wheels used in a clock (full size) with pa,,,,,,Model of train of wheels used in a clock (full size) with pair of vanes and base,WHOLE,SCM - Time Measurement
1985-438,Spring driven pendulum clock,Copy  of a Dwerrihouse skeleton clock with coup-perdu escape,Thwaites and Reed Ltd. (maker),1973,"London, England, United Kingdom","brass (copper, zinc alloy); steel (metal); wood (unidentified)","overall: 380 mm x 300 mm x 192 mm, weight: 6.45kg","Copy  of a Dwerrihouse skeleton clock with coup-perdu escapement. Made by Thwaites and Reed, London, England, 1973. No. 88 of a limited edition of 100.",WHOLE,SCM - Time Measurement
1985-1202,clock,Assembled and unassembled EXA electric clock kit,EXA,1931-1939,Belgium,"brass (copper, zinc alloy); steel (metal); cardboard; wood (unidentified)",overall: 170 mm x 132 mm x 154 mm,"Electric clock kit in original box and a similar clock which has been assembled, by EXA, Belgium, 1931-1939. Support stand broken on finished dock. Lid of box containing finished clock missing.",TOP,SCM - Time Measurement
1876-377,chronograph - timer,"Bashforth's Chronograph with screens, frame and weights, inv","Bashforth, Rev. Francis",1865-1875,"Horncastle, Lincolnshire, England, United Kingdom",paper (fiber product); cord (fiber product); cotton fibre; thread; brass (alloy); copper; wood; rotating; vertical; cylindrical; electrical properties; electromagnetic; timer; regulated,,"Bashforth's Chronograph with screens, frame and weights, invented c. 1865.",WHOLE,SCM - Time Measurement
1987-241,,"MKV11b quartz timer by Hurd-Brown Limited, Bolton c.1955",Hurd-Brown Ltd. (maker),c. 1955,"Bolton, Bolton borough, Greater Manchester, England, United Kingdom; Lancashire, England, United Kingdom",,"overall: 260 mm x 270 mm x 537 mm,","MKV11b quartz timer by Hurd-Brown Limited, Bolton c.1955",WHOLE,SCM - Time Measurement
1975-168/1,,Armorial device of Paisley & District Tramways.,,,,,,Armorial device of Paisley & District Tramways.,WHOLE,NRM - Railway Heraldry
1964-330/70,lswr coat-of-arms,Transfer on painted wooden board: Armorial device of the Lon,,,,,,Transfer on painted wooden board: Armorial device of the London & South Western Railway,WHOLE,NRM - Railway Heraldry
1964-330/71,ner coat-of-arms,Transfer on painted wooden board: Armorial device of the Nor,,,,,,Transfer on painted wooden board: Armorial device of the North Eastern Railway,WHOLE,NRM - Railway Heraldry
1964-330/72,coat-of-arms,gnr coat-of-arms,,,,,,Transfer on painted wooden board: Armorial device of the Great Northern Railway,WHOLE,NRM - Railway Heraldry
